,symbol,sector,RSI,ROC,ADOSC,ATR,EMA,start_date,end_date,Sharpe_ratio,average_returns,wtd_sentiment,label
55,ORCL,Information Technology,42.16725559481744,-12.837837837837839,-31838756.17427072,1.2457677419354836,47.92238095238096,2018-10-01,2019-01-01,-0.8514745806936339,-0.001949243212383568,0.09178940217391304,3
56,CDNS,Information Technology,48.50037965072133,-3.5064358632934,-1319477.0332340142,1.3761387096774185,43.41777777777778,2018-10-01,2019-01-01,-0.043141271940391836,-0.00015826165739659298,0.09178940217391304,0
57,CSCO,Information Technology,44.43551627159502,-11.33619807652957,-20942975.04847309,1.339056451612903,45.7574603174603,2018-10-01,2019-01-01,-0.5718938661865276,-0.00156493338853239,0.09178940217391304,3
58,CTXS,Information Technology,43.9287717330342,-7.793376529877616,-2185523.6019835863,2.540382258064515,105.61571428571432,2018-10-01,2019-01-01,-0.7071975224050125,-0.0011525587366115616,0.09178940217391304,0
59,AAP,Consumer Discretionary,46.09696502057614,-7.15801886792452,-813483.9671220173,5.0479129032258045,167.04063492063494,2018-10-01,2019-01-01,-0.3291926711051485,-0.0009265119965037725,0.09178940217391304,0
60,AMZN,Consumer Discretionary,40.91443411205996,-25.06485860823404,-4301338.535599968,75.76322580645163,1662.7288888888888,2018-10-01,2019-01-01,-0.9020730520166708,-0.0039636061833425405,0.3743538758581236,3
61,APTV,Consumer Discretionary,36.214495592556304,-26.780830063027715,-5089399.020605098,2.5341822580645172,72.48269841269837,2018-10-01,2019-01-01,-1.705196368707192,-0.0046541749750802115,0.09178940217391304,2
62,AZO,Consumer Discretionary,54.96676163342832,8.825858376062822,7821.774130979877,21.812993548387084,801.5488888888887,2018-10-01,2019-01-01,0.6336960041119407,0.0015276536532438554,0.09178940217391304,1
63,BBY,Consumer Discretionary,34.312898952185954,-32.97051006201747,-8220522.023243148,2.6665790322580643,65.32682539682541,2018-10-01,2019-01-01,-1.754876940674616,-0.005854671306011479,0.09178940217391304,2
64,BKNG,Consumer Discretionary,42.5419739350669,-13.411856968344214,-1029296.440984968,54.82564516129033,1833.5890476190475,2018-10-01,2019-01-01,-0.8368740409263331,-0.002086989809099116,0.09178940217391304,0
65,BWA,Consumer Discretionary,41.18438761776582,-18.450704225352112,-5813119.844857849,1.4224548387096765,38.07746031746033,2018-10-01,2019-01-01,-0.9570480434574068,-0.002877476134353296,0.09178940217391304,3
66,KMX,Consumer Discretionary,41.12119248217758,-14.873117112226891,-2370482.694749562,2.0285741935483874,65.9950793650794,2018-10-01,2019-01-01,-0.9532713911669324,-0.002360486365234528,0.09178940217391304,3
67,CCL,Consumer Discretionary,37.31980779498132,-22.423288749016525,-3755622.418035802,1.5733419354838705,57.27365079365081,2018-10-01,2019-01-01,-1.357933702072465,-0.003657118330993718,0.09178940217391304,2
68,CBS,Consumer Discretionary,38.23759280969129,-21.592539454806317,-6115892.969523158,1.579269354838709,53.13317460317458,2018-10-01,2019-01-01,-1.4590045929388498,-0.003604035717320747,0.09178940217391304,2
69,CHTR,Consumer Discretionary,44.438369479375496,-11.387169999067115,-1394193.4990828324,10.755211290322585,313.65428571428583,2018-10-01,2019-01-01,-0.6103166198607871,-0.0016775071336962285,0.09178940217391304,0
70,CMG,Consumer Discretionary,48.21024335031126,-3.3962010873212933,-44859.982000162636,14.124803225806453,451.93968253968245,2018-10-01,2019-01-01,-0.12879007946283005,-0.00033481287788341416,0.09178940217391304,0
71,CMCSA,Consumer Discretionary,47.65848996495698,-4.138513513513531,-14818391.46065701,1.0473451612903224,36.50746031746032,2018-10-01,2019-01-01,-0.148383582974803,-0.0003365209576104132,0.09178940217391304,0
72,DHI,Consumer Discretionary,40.9178279673234,-17.906205589767886,-3872466.860185728,1.3477580645161291,36.46365079365078,2018-10-01,2019-01-01,-0.9386775557591356,-0.002780586701302561,0.09178940217391304,3
73,DRI,Consumer Discretionary,45.03079210023359,-8.569859000183111,-1955831.5280483053,3.0310774193548395,106.95412698412704,2018-10-01,2019-01-01,-0.46605673678193504,-0.0011277795301682474,0.09178940217391304,0
74,DISCA,Consumer Discretionary,39.42731277533039,-23.689080814312163,-10234864.52478866,1.1665403225806457,30.44777777777779,2018-10-01,2019-01-01,-1.2425861800261253,-0.003957224096895605,0.09178940217391304,2
75,DISCK,Consumer Discretionary,39.25292814181703,-22.731837964512906,-6065968.8030550275,1.0683387096774195,27.832698412698413,2018-10-01,2019-01-01,-1.2213718018910162,-0.0037790087463474217,0.09178940217391304,2
76,DISH,Consumer Discretionary,38.56924086633122,-29.503105590062127,-5543406.824650422,1.3743419354838708,31.392380952380954,2018-10-01,2019-01-01,-1.3525965272113258,-0.005083160961707776,0.09178940217391304,2
77,DG,Consumer Discretionary,49.27228623408126,-1.3148283418553677,-2420031.5078750183,3.0074774193548395,108.25746031746034,2018-10-01,2019-01-01,0.018378932564649484,4.781501287941578e-05,0.09178940217391304,0
78,DLTR,Consumer Discretionary,56.08108108108107,9.85161761128679,-1740849.8899588669,2.2776354838709683,84.45761904761905,2018-10-01,2019-01-01,0.6896286841673883,0.0016766459431277413,0.09178940217391304,1
79,AES,Utilities,51.60532498042287,2.918149466192177,706274.0501128491,0.3702467741935483,15.016349206349213,2018-10-01,2019-01-01,0.3262260418769665,0.0007767439998503457,0.09178940217391304,1
80,LNT,Utilities,49.69512195121952,-0.3772695119075631,666835.9343101415,0.9022370967741936,43.95666666666666,2018-10-01,2019-01-01,0.0897659428261586,0.00014569582309254155,0.09178940217391304,1
81,AEE,Utilities,52.36816406250002,3.065255174593151,1907281.655694155,1.3955193548387088,66.67825396825397,2018-10-01,2019-01-01,0.4000497944569167,0.0006779442142669481,0.09178940217391304,1
82,AEP,Utilities,54.42804428044279,5.416078984485173,2259251.118484801,1.5205080645161295,75.03603174603174,2018-10-01,2019-01-01,0.6800766529493771,0.0010570647606313649,0.09178940217391304,1
83,AWK,Utilities,52.610377054463434,3.701588026962188,833728.4289637919,1.896953225806452,91.29396825396826,2018-10-01,2019-01-01,0.4167217779237065,0.0007655490169251811,0.09178940217391304,1
84,CNP,Utilities,52.12307692307692,2.505446623093688,4068093.85347406,0.5579016129032258,27.90349206349207,2018-10-01,2019-01-01,0.4254880941494421,0.0006198656583495537,0.09178940217391304,1
85,CMS,Utilities,51.373626373626365,1.6376663254861867,4703385.802481439,1.0220145161290324,50.51539682539683,2018-10-01,2019-01-01,0.2807689281219786,0.00045989965015897423,0.09178940217391304,1
86,ED,Utilities,50.682222661657114,0.9106506532928548,2508266.8493641363,1.6649854838709666,78.21126984126984,2018-10-01,2019-01-01,0.21816645536560075,0.000387800553043824,0.09178940217391304,1
87,D,Utilities,51.49384885764498,1.9400855920114197,5481598.314100984,1.504630645161291,73.06682539682542,2018-10-01,2019-01-01,0.3448724616444992,0.0005678545062975884,0.09178940217391304,1
88,DTE,Utilities,50.97467382962394,1.1648170228377497,1248458.0289433235,2.2277661290322577,114.72587301587305,2018-10-01,2019-01-01,0.2373357410506952,0.000399636454520909,0.09178940217391304,1
89,DUK,Utilities,56.80855356062133,8.48522941546197,6166724.047496263,1.7414806451612896,85.11619047619045,2018-10-01,2019-01-01,0.9916548657364912,0.001540402456695356,0.09178940217391304,1
90,EIX,Utilities,42.45942921096811,-15.958549222797926,1705937.2521373527,2.15072741935484,62.17587301587302,2018-10-01,2019-01-01,-0.4226143691899667,-0.001922362252007802,0.09178940217391304,3
91,ETR,Utilities,55.48582995951416,6.7203967761934065,1678994.9791751853,1.778980645161291,85.07015873015872,2018-10-01,2019-01-01,0.8311704765109101,0.0012763296005427144,0.09178940217391304,1
