,symbol,sector,RSI,ROC,ADOSC,ATR,EMA,start_date,end_date
29240,APTV,Consumer Discretionary,58.40160508276207,12.31919588134347,3309512.7883131867,1.8481904761904764,93.23890624999997,2018-04-01,2018-07-01
29722,AZO,Consumer Discretionary,56.34638196915777,9.423468971703496,-38808.86699909286,15.417688888888883,645.20921875,2018-04-01,2018-07-01
30204,BBY,Consumer Discretionary,54.25563909774436,8.212420197330239,-951926.9082083656,1.9295698412698419,73.91656249999998,2018-04-01,2018-07-01
30686,BKNG,Consumer Discretionary,49.848141852427716,-0.1856356420432692,435241.8397737718,38.80476190476189,2106.0504687499997,2018-04-01,2018-07-01
31168,BWA,Consumer Discretionary,42.9212362911266,-11.629811629811648,-2243566.926996479,1.1717222222222223,50.06703125000001,2018-04-01,2018-07-01
31650,KMX,Consumer Discretionary,61.07026842195248,21.61214953271029,1065193.289845763,1.706598412698412,66.76828124999997,2018-04-01,2018-07-01
32132,CCL,Consumer Discretionary,42.231668437832084,-11.312287217579698,-1508500.3910987824,1.3592888888888897,63.42453125,2018-04-01,2018-07-01
32614,CBS,Consumer Discretionary,56.44746080037445,10.865706961151634,-834490.9774703542,1.3061650793650792,52.224374999999995,2018-04-01,2018-07-01
33038,CHTR,Consumer Discretionary,48.07588173712139,-3.508079112778495,1394151.2024023053,8.619387301587295,287.347578125,2018-04-01,2018-07-01
33520,CMG,Consumer Discretionary,65.35680523263241,38.63285769379097,1080852.6281989776,11.649850793650792,408.73828124999994,2018-04-01,2018-07-01
34002,CMCSA,Consumer Discretionary,48.748678181177304,-2.1181384248210033,-19717491.23209691,0.8274190476190474,32.58296874999999,2018-04-01,2018-07-01
34484,DHI,Consumer Discretionary,48.237826203927895,-3.0961947530134815,-2463776.5523225823,1.2527714285714295,43.143437500000005,2018-04-01,2018-07-01
34966,DRI,Consumer Discretionary,67.54693939856512,27.346259069822775,2055638.3738652691,1.9262301587301591,91.568125,2018-04-01,2018-07-01
35448,DISCA,Consumer Discretionary,61.699604743083,27.43280815569973,4071619.895415538,0.7767904761904767,23.841562500000006,2018-04-01,2018-07-01
35930,DISCK,Consumer Discretionary,62.18660090423346,30.301481859989778,5670261.292446461,0.741047619047619,22.294218750000006,2018-04-01,2018-07-01
36412,DISH,Consumer Discretionary,45.03858875413451,-9.674818597151303,-1331261.6025167145,1.1102349206349207,34.113125,2018-04-01,2018-07-01
36893,DG,Consumer Discretionary,54.34965505636882,5.533554532805285,2344983.288678173,1.9636746031746026,96.17906249999999,2018-04-01,2018-07-01
37375,DLTR,Consumer Discretionary,42.79803861477168,-9.957627118644075,-1655132.5361872558,2.2165841269841255,92.22171875,2018-04-01,2018-07-01
37857,AES,Utilities,64.28571428571429,17.941952506596316,10190801.643062428,0.23834126984126983,12.31015625,2018-04-01,2018-07-01
38339,LNT,Utilities,54.128440366972484,3.750919342976222,857978.7479796023,0.628174603174603,41.177187500000024,2018-04-01,2018-07-01
38821,AEE,Utilities,57.56914119359535,7.3381548774034355,590124.3886202066,0.8922634920634923,57.47359374999999,2018-04-01,2018-07-01
39303,AEP,Utilities,51.484542393633305,1.4206209724663132,1745671.937564009,0.9924650793650801,67.34218750000001,2018-04-01,2018-07-01
39785,AWK,Utilities,55.33980582524273,5.147783251231508,741775.0864543614,1.2696111111111097,82.6875,2018-04-01,2018-07-01
40267,CNP,Utilities,52.34124438742784,2.7057079318013377,-2144720.249902539,0.4596984126984123,26.230156250000004,2018-04-01,2018-07-01
40749,CMS,Utilities,55.166135639508425,5.04332370584315,2019606.372642722,0.6665666666666673,45.170000000000016,2018-04-01,2018-07-01
41231,ED,Utilities,51.26003877042372,1.180744777475029,1281505.1541962912,1.1411365079365081,76.40031249999994,2018-04-01,2018-07-01
41713,D,Utilities,51.66921898928025,1.6246832612908158,2197454.2321633566,0.9873904761904773,65.12625,2018-04-01,2018-07-01
42195,DTE,Utilities,49.95610184372256,-0.03858396836114997,1038247.2929297795,1.5018603174603173,101.77765624999998,2018-04-01,2018-07-01
42677,DUK,Utilities,52.63718700053278,2.568093385214021,466646.30902743526,1.143560317460318,76.91093749999997,2018-04-01,2018-07-01
